FRDC1PWHCS001_P0 FRDC1PWHCS001_412353_1A_1B G8_412353_1A G8_412353_1B Main_Fabric_A
FRDC1PWHCS001_P0 FRDC1PWHCS001_441713_1A_1B G8_441713_1A G8_441713_1B Main_Fabric_A
FRDC1PWHCS001_P0 FRDC1PWHCS001_442703_3C_3D G8_442703_3C G8_442703_3D Main_Fabric_A
FRDC1PWHCS001_P0 FRDC1PWHCS001_442722_3C_3D G8_242722_3C G8_442722_3D Main_Fabric_A
FRDC1PWHCS001_P0 FRDC1PWHCS001_471132_3C_3D G4_471132_3C G4_471132_3D Main_Fabric_A
FRDC1PWHCS001_P0 FRDC1PWHCS001_471277_3C_3D G4_471277_3C G4_471277_3D Main_Fabric_A
FRDC1PXHYP102_P0 FRDC1PXHYP102_471132_1C_1D G4_471132_1C G4_471132_1D Main_Fabric_A
FRDC2PXHYP102_P0 FRDC2PXHYP102_471132_1C_1D G4_471132_1C G4_471132_1D Main_Fabric_A
FRDC2PNNASA01_0E FRDC2PNNASA01_471277_3E_3F G4_471277_3E G4_471277_3F Main_Fabric_A
FRDC2PNNASB01_0E FRDC2PNNASB01_471277_3E_3F G4_471277_3E G4_471277_3F Main_Fabric_A
DEMUC1PR50_P0 DEMUC1PR50_P0_412353_1K_1L G8_412353_1K G8_412353_1L Main_Fabric_A
DEMUC1PR50_P0 DEMUC1PR50_P0_441713_1A_1B G8_441713_1A G8_441713_1B Main_Fabric_A
DEMUC1PR50_P2 DEMUC1PR50_P2_441713_1A_1B G8_441713_1A G8_441713_1B Main_Fabric_A
DEMUC1PR50_P2 DEMUC1PR50_P2_441713_1A_1B G8_441713_1A G8_441713_1B Main_Fabric_A
DEWSTTXCTLP02_demuc5sv001_P0 DEWSTTXCTLP02_demuc5sv001_P0_442703_3A_3B G8_442703_3A G8_442703_3B Main_Fabric_A 
DEWSTTXCTL002_DEMUC5DV07_8_P0 DEWSTTXCTL002_DEMUC5DV07_8_P0_G8_442703_3C_3D G8_442703_3C G8_442703_3D Main_Fabric_A
DEWSTTXCTL002_demuc1dv51_52_P0 DEWSTTXCTL002_demuc1dv51_52_P0_442703_3C_3D G8_442703_3C G8_442703_3D Main_Fabric_A
DEWSTTXCTL002_demuc1dv6_P0 DEWSTTXCTL002_demuc1dv6_442703_3C_3D G8_442703_3C G8_442703_3D Main_Fabric_A
DEWSTTXCTL002_demuc1px23_P0 DEWSTTXCTL002_demuc1px23_442703_3A_3B G8_442703_3A G8_442703_3B Main_Fabric_A
DEWSTTXCTL002_demuc1ub21_P0 DEWSTTXCTL002_demuc1ub21_P0_G8_442722_3A_3B G8_242722_3A G8_442722_3B Main_Fabric_A
DEWSTTXCTL002_demuc5dv09_10_P0 DEWSTTXCTL002_demuc5dv09_10_P0_G8_442703_3C_3D G8_442703_3C G8_442703_3D Main_Fabric_A
